voivodeship,date,cases
lubuskie,2020-11-12,688
śląskie,2020-11-11,4066
opolskie,2020-11-11,910
wielkopolskie,2020-11-11,3081
zachodniopomorskie,2020-11-11,852
świętokrzyskie,2020-11-11,500
kujawsko-pomorskie,2020-11-11,792
podlaskie,2020-11-11,662
dolnośląskie,2020-11-11,2661
podkarpackie,2020-11-11,1152
małopolskie,2020-11-11,2947
pomorskie,2020-11-11,1321
warmińsko-mazurskie,2020-11-11,618
łódzkie,2020-11-11,1443
mazowieckie,2020-11-11,1976
lubelskie,2020-11-11,1449
lubuskie,2020-11-11,791
śląskie,2020-11-10,4276
opolskie,2020-11-10,762
wielkopolskie,2020-11-10,3846
zachodniopomorskie,2020-11-10,738
świętokrzyskie,2020-11-10,753
kujawsko-pomorskie,2020-11-10,1108
podlaskie,2020-11-10,714
dolnośląskie,2020-11-10,2541
podkarpackie,2020-11-10,1236
małopolskie,2020-11-10,2697
pomorskie,2020-11-10,1116
warmińsko-mazurskie,2020-11-10,649
łódzkie,2020-11-10,1431
mazowieckie,2020-11-10,1982
lubelskie,2020-11-10,985
lubuskie,2020-11-10,650
śląskie,2020-11-09,4373
opolskie,2020-11-09,591
wielkopolskie,2020-11-09,1983
zachodniopomorskie,2020-11-09,819
świętokrzyskie,2020-11-09,344
kujawsko-pomorskie,2020-11-09,1018
podlaskie,2020-11-09,497
dolnośląskie,2020-11-09,1719
podkarpackie,2020-11-09,1260
małopolskie,2020-11-09,2650
pomorskie,2020-11-09,1122
warmińsko-mazurskie,2020-11-09,694
łódzkie,2020-11-09,1269
mazowieckie,2020-11-09,1630
lubelskie,2020-11-09,1201
lubuskie,2020-11-09,543
śląskie,2020-11-08,4245
opolskie,2020-11-08,858
wielkopolskie,2020-11-08,1845
zachodniopomorskie,2020-11-08,723
świętokrzyskie,2020-11-08,429
kujawsko-pomorskie,2020-11-08,1439
podlaskie,2020-11-08,1053
dolnośląskie,2020-11-08,1799
podkarpackie,2020-11-08,1822
małopolskie,2020-11-08,2806
pomorskie,2020-11-08,1335
warmińsko-mazurskie,2020-11-08,558
łódzkie,2020-11-08,1576
mazowieckie,2020-11-08,2099
lubelskie,2020-11-08,1728
lubuskie,2020-11-08,470
śląskie,2020-11-07,4290
opolskie,2020-11-07,765
wielkopolskie,2020-11-07,2451
zachodniopomorskie,2020-11-07,1072
świętokrzyskie,2020-11-07,1231
kujawsko-pomorskie,2020-11-07,1809
podlaskie,2020-11-07,615
dolnośląskie,2020-11-07,2045
podkarpackie,2020-11-07,1946
małopolskie,2020-11-07,2450
pomorskie,2020-11-07,1671
warmińsko-mazurskie,2020-11-07,679
łódzkie,2020-11-07,1549
mazowieckie,2020-11-07,2998
lubelskie,2020-11-07,1794
lubuskie,2020-11-07,510
śląskie,2020-11-06,3942
opolskie,2020-11-06,739
wielkopolskie,2020-11-06,2063
zachodniopomorskie,2020-11-06,903
świętokrzyskie,2020-11-06,1013
kujawsko-pomorskie,2020-11-06,1952
podlaskie,2020-11-06,580
dolnośląskie,2020-11-06,2512
podkarpackie,2020-11-06,1707
małopolskie,2020-11-06,2815
pomorskie,2020-11-06,1451
warmińsko-mazurskie,2020-11-06,826
łódzkie,2020-11-06,1593
mazowieckie,2020-11-06,2951
lubelskie,2020-11-06,1542
lubuskie,2020-11-06,497
śląskie,2020-11-05,3850
opolskie,2020-11-05,714
wielkopolskie,2020-11-05,3888
zachodniopomorskie,2020-11-05,866
świętokrzyskie,2020-11-05,950
kujawsko-pomorskie,2020-11-05,1663
podlaskie,2020-11-05,902
dolnośląskie,2020-11-05,2451
podkarpackie,2020-11-05,1553
małopolskie,2020-11-05,2342
pomorskie,2020-11-05,1141
warmińsko-mazurskie,2020-11-05,795
łódzkie,2020-11-05,1713
mazowieckie,2020-11-05,2932
lubelskie,2020-11-05,805
lubuskie,2020-11-05,578
śląskie,2020-11-04,2165
opolskie,2020-11-04,644
wielkopolskie,2020-11-04,3952
zachodniopomorskie,2020-11-04,747
świętokrzyskie,2020-11-04,767
kujawsko-pomorskie,2020-11-04,1429
podlaskie,2020-11-04,625
dolnośląskie,2020-11-04,2324
podkarpackie,2020-11-04,1280
małopolskie,2020-11-04,2245
pomorskie,2020-11-04,1352
warmińsko-mazurskie,2020-11-04,622
łódzkie,2020-11-04,1766
mazowieckie,2020-11-04,2797
lubelskie,2020-11-04,1543
lubuskie,2020-11-04,434
śląskie,2020-11-03,2407
opolskie,2020-11-03,445
wielkopolskie,2020-11-03,2114
zachodniopomorskie,2020-11-03,454
świętokrzyskie,2020-11-03,551
kujawsko-pomorskie,2020-11-03,551
podlaskie,2020-11-03,316
dolnośląskie,2020-11-03,1964
podkarpackie,2020-11-03,929
małopolskie,2020-11-03,2106
pomorskie,2020-11-03,1317
