voivodeship,date,cases
zachodniopomorskie,2020-11-15,1033
świętokrzyskie,2020-11-15,685
kujawsko-pomorskie,2020-11-15,1723
podlaskie,2020-11-15,725
dolnośląskie,2020-11-15,2016
podkarpackie,2020-11-15,926
małopolskie,2020-11-15,1859
pomorskie,2020-11-15,1723
warmińsko-mazurskie,2020-11-15,820
łódzkie,2020-11-15,1389
mazowieckie,2020-11-15,1642
lubelskie,2020-11-15,1248
lubuskie,2020-11-15,419
śląskie,2020-11-14,3453
opolskie,2020-11-14,2742
wielkopolskie,2020-11-14,2742
zachodniopomorskie,2020-11-14,1045
świętokrzyskie,2020-11-14,1177
kujawsko-pomorskie,2020-11-14,955
podlaskie,2020-11-14,695
dolnośląskie,2020-11-14,2794
podkarpackie,2020-11-14,1162
małopolskie,2020-11-14,2202
pomorskie,2020-11-14,1328
warmińsko-mazurskie,2020-11-14,990
łódzkie,2020-11-14,1487
mazowieckie,2020-11-14,2419
lubelskie,2020-11-14,1563
lubuskie,2020-11-14,760
śląskie,2020-11-13,3841
opolskie,2020-11-13,2866
wielkopolskie,2020-11-13,2866
zachodniopomorskie,2020-11-13,1331
świętokrzyskie,2020-11-13,920
kujawsko-pomorskie,2020-11-13,1279
podlaskie,2020-11-13,402
dolnośląskie,2020-11-13,2823
podkarpackie,2020-11-13,1264
małopolskie,2020-11-13,2271
pomorskie,2020-11-13,1421
warmińsko-mazurskie,2020-11-13,746
łódzkie,2020-11-13,1557
mazowieckie,2020-11-13,1410
lubelskie,2020-11-13,526
lubuskie,2020-11-13,592
śląskie,2020-11-12,3911
opolskie,2020-11-12,2232
wielkopolskie,2020-11-12,2232
zachodniopomorskie,2020-11-12,768
świętokrzyskie,2020-11-12,825
kujawsko-pomorskie,2020-11-12,1083
podlaskie,2020-11-12,943
dolnośląskie,2020-11-12,1847
podkarpackie,2020-11-12,1276
małopolskie,2020-11-12,2132
pomorskie,2020-11-12,1114
warmińsko-mazurskie,2020-11-12,915
łódzkie,2020-11-12,1528
mazowieckie,2020-11-12,1746
lubelskie,2020-11-12,831
lubuskie,2020-11-12,688
śląskie,2020-11-11,4066
opolskie,2020-11-11,3081
wielkopolskie,2020-11-11,3081
zachodniopomorskie,2020-11-11,852
świętokrzyskie,2020-11-11,500
kujawsko-pomorskie,2020-11-11,792
podlaskie,2020-11-11,662
dolnośląskie,2020-11-11,2661
podkarpackie,2020-11-11,1152
małopolskie,2020-11-11,2947
pomorskie,2020-11-11,1321
warmińsko-mazurskie,2020-11-11,618
łódzkie,2020-11-11,1443
mazowieckie,2020-11-11,1976
lubelskie,2020-11-11,1449
lubuskie,2020-11-11,791
śląskie,2020-11-10,4276
opolskie,2020-11-10,3846
wielkopolskie,2020-11-10,3846
